Race,Race-noRace,Gender,Gender-noRace,Education,Education-noRace,Years,Years-noRace,Warnings,Warnings-noRace,Bonus,Bonus-noRace
W,B,M,M,Masters,Bachelors,3-6,>6,high,high,yes,yes
W,B,F,M,Bachelors,Highschool,>6,>6,medium,high,no,no
B,B,M,F,Highschool,Bachelors,>6,3-6,high,low,yes,yes
W,B,M,M,Bachelors,Bachelors,<3,>6,medium,low,no,yes
B,B,M,M,Bachelors,Masters,>6,3-6,medium,low,yes,yes
B,B,M,M,Masters,Masters,>6,3-6,medium,high,yes,yes
W,B,F,F,Masters,Bachelors,3-6,<3,high,low,yes,yes
W,B,M,M,Bachelors,Highschool,>6,<3,low,low,yes,no
B,B,M,F,Highschool,Highschool,<3,3-6,high,high,no,no
W,B,F,F,Masters,Masters,>6,<3,low,low,yes,yes
B,B,M,F,Highschool,Bachelors,<3,3-6,low,high,no,no
W,B,M,M,Bachelors,Highschool,<3,>6,high,low,no,no
W,B,F,F,Bachelors,Bachelors,3-6,>6,high,high,yes,yes
B,B,F,F,Masters,Masters,3-6,3-6,low,medium,no,yes
W,B,M,M,Bachelors,Masters,3-6,<3,high,high,no,yes
W,B,F,M,Bachelors,Bachelors,<3,>6,low,medium,yes,yes
W,B,M,F,Bachelors,Bachelors,>6,>6,low,high,yes,yes
B,B,F,M,Bachelors,Bachelors,3-6,3-6,low,medium,no,no
W,B,M,F,Highschool,Bachelors,>6,<3,low,high,no,no
W,B,M,M,Masters,Bachelors,3-6,3-6,medium,high,no,no
B,B,F,M,Masters,Bachelors,<3,3-6,medium,low,yes,no
W,B,F,M,Masters,Masters,<3,3-6,high,low,yes,yes
W,B,M,F,Bachelors,Masters,>6,<3,low,high,yes,yes
B,B,M,M,Highschool,Bachelors,>6,3-6,medium,high,no,yes
W,B,F,F,Highschool,Bachelors,<3,3-6,high,high,no,yes
B,B,M,M,Highschool,Bachelors,>6,3-6,low,high,no,yes
B,B,M,F,Highschool,Masters,<3,>6,low,high,no,yes
B,B,F,M,Masters,Highschool,<3,3-6,high,low,no,no
W,B,M,M,Masters,Masters,>6,<3,high,low,no,no
B,B,F,F,Bachelors,Bachelors,3-6,<3,low,low,no,yes
W,B,F,F,Bachelors,Bachelors,3-6,>6,medium,medium,no,no
B,B,M,M,Bachelors,Masters,<3,3-6,low,high,no,yes
B,B,M,F,Highschool,Bachelors,>6,>6,high,high,no,yes
W,B,F,F,Highschool,Bachelors,>6,<3,medium,high,yes,no
W,B,F,F,Bachelors,Bachelors,<3,3-6,low,medium,no,no
W,B,F,F,Highschool,Bachelors,<3,>6,low,low,no,yes
W,B,F,F,Bachelors,Bachelors,<3,3-6,high,medium,yes,yes
W,B,F,F,Highschool,Masters,<3,<3,high,medium,no,yes
B,B,F,F,Bachelors,Bachelors,3-6,>6,low,low,no,no
B,B,F,M,Masters,Highschool,>6,<3,low,high,yes,yes
B,B,F,F,Bachelors,Bachelors,3-6,<3,high,high,no,yes
B,B,F,F,Masters,Bachelors,<3,>6,low,medium,yes,no
W,B,M,M,Masters,Bachelors,<3,<3,low,medium,no,no
B,B,F,M,Bachelors,Bachelors,<3,<3,medium,low,yes,no
B,B,M,M,Highschool,Bachelors,>6,>6,high,low,no,yes
B,B,M,M,Highschool,Masters,<3,3-6,high,medium,no,yes
B,B,M,F,Highschool,Highschool,3-6,3-6,medium,low,no,yes
W,B,F,F,Highschool,Highschool,3-6,>6,high,medium,no,yes
B,B,M,M,Highschool,Highschool,>6,<3,low,high,yes,no
B,B,M,F,Highschool,Bachelors,>6,>6,low,low,no,no
B,B,M,M,Highschool,Highschool,3-6,<3,medium,medium,yes,no
B,B,F,F,Highschool,Highschool,3-6,>6,high,low,yes,no
B,B,F,F,Bachelors,Masters,<3,>6,medium,medium,no,no
B,B,M,M,Highschool,Highschool,>6,3-6,high,medium,no,no
B,B,F,F,Bachelors,Bachelors,3-6,3-6,high,low,no,no
W,B,M,F,Bachelors,Masters,>6,<3,high,high,no,yes
B,B,F,M,Bachelors,Bachelors,<3,3-6,low,high,yes,yes
W,B,F,M,Highschool,Bachelors,<3,3-6,high,high,no,yes
W,B,F,F,Masters,Bachelors,>6,>6,high,high,yes,yes
B,B,F,M,Bachelors,Highschool,>6,<3,medium,low,yes,no
B,B,F,M,Bachelors,Masters,<3,3-6,low,medium,yes,no
B,B,F,M,Masters,Masters,3-6,3-6,high,low,yes,yes
B,B,F,M,Masters,Highschool,<3,>6,low,low,yes,no
B,B,M,M,Masters,Masters,3-6,<3,medium,high,yes,yes
B,B,M,F,Highschool,Masters,<3,<3,high,medium,no,yes
W,B,F,M,Masters,Masters,<3,>6,low,low,yes,yes
B,B,M,M,Bachelors,Bachelors,>6,<3,medium,low,yes,yes
B,B,M,M,Highschool,Masters,<3,<3,medium,high,yes,no
W,B,F,M,Bachelors,Masters,>6,<3,low,low,no,yes
B,B,M,F,Masters,Highschool,>6,3-6,medium,medium,yes,no
B,B,F,F,Highschool,Highschool,3-6,>6,medium,high,no,no
B,B,M,F,Highschool,Bachelors,3-6,3-6,high,high,no,yes
B,B,M,M,Highschool,Highschool,>6,3-6,medium,medium,no,no
B,B,M,F,Bachelors,Bachelors,<3,>6,low,low,yes,yes
B,B,M,M,Highschool,Masters,3-6,>6,high,high,no,yes
W,B,M,M,Masters,Highschool,3-6,>6,low,low,no,yes
W,B,F,M,Masters,Highschool,3-6,3-6,low,medium,yes,no
B,B,M,F,Highschool,Highschool,<3,<3,high,medium,no,no
B,B,F,M,Masters,Bachelors,<3,3-6,high,high,yes,no
B,B,F,F,Masters,Bachelors,3-6,<3,high,medium,yes,no
B,B,F,F,Bachelors,Bachelors,<3,>6,medium,high,yes,yes
W,B,M,F,Bachelors,Masters,>6,<3,high,low,yes,no
B,B,M,M,Highschool,Bachelors,<3,>6,high,high,no,yes
W,B,M,M,Bachelors,Bachelors,3-6,3-6,high,high,no,no
W,B,F,F,Highschool,Masters,3-6,>6,high,low,no,yes
B,B,F,F,Masters,Bachelors,>6,3-6,medium,medium,yes,no
W,B,M,F,Bachelors,Bachelors,<3,3-6,low,low,yes,yes
B,B,F,M,Bachelors,Masters,>6,3-6,high,high,no,no
W,B,M,F,Bachelors,Masters,>6,<3,medium,medium,yes,yes
W,B,F,F,Bachelors,Highschool,3-6,<3,high,high,no,yes
B,B,M,F,Bachelors,Masters,>6,3-6,high,low,yes,no
B,B,M,M,Highschool,Masters,<3,>6,high,low,no,yes
W,B,F,F,Highschool,Highschool,>6,>6,medium,high,no,yes
W,B,F,M,Bachelors,Highschool,<3,<3,low,low,no,no
B,B,F,F,Highschool,Bachelors,>6,>6,high,low,yes,no
B,B,F,M,Bachelors,Bachelors,>6,<3,high,high,yes,no
B,B,M,F,Masters,Bachelors,3-6,<3,medium,low,yes,no
W,B,F,F,Bachelors,Highschool,3-6,<3,low,medium,no,no
W,B,F,F,Masters,Bachelors,<3,3-6,low,low,yes,no
B,B,F,F,Bachelors,Bachelors,3-6,>6,medium,high,no,no
W,B,F,F,Bachelors,Bachelors,<3,<3,high,high,yes,no
B,B,F,F,Bachelors,Highschool,>6,>6,low,medium,no,no
B,B,M,F,Masters,Bachelors,3-6,<3,high,high,yes,yes
W,B,M,F,Highschool,Bachelors,3-6,>6,low,high,no,no
W,B,F,M,Highschool,Highschool,<3,>6,medium,medium,no,no
B,B,M,M,Highschool,Highschool,<3,<3,low,low,yes,yes
B,B,F,M,Masters,Highschool,3-6,<3,medium,low,yes,yes
B,B,F,F,Masters,Bachelors,3-6,>6,high,high,yes,no
W,B,F,F,Bachelors,Bachelors,<3,3-6,high,high,no,yes
W,B,F,F,Bachelors,Bachelors,>6,3-6,low,low,no,yes
W,B,F,F,Bachelors,Highschool,>6,>6,medium,high,yes,no
B,B,M,M,Highschool,Bachelors,>6,>6,low,low,no,yes
B,B,F,M,Bachelors,Masters,3-6,>6,low,low,no,yes
W,B,F,M,Highschool,Bachelors,<3,>6,medium,low,yes,yes
W,B,F,F,Highschool,Masters,3-6,3-6,high,medium,yes,yes
B,B,F,F,Bachelors,Bachelors,<3,>6,medium,low,yes,yes
B,B,M,M,Highschool,Highschool,<3,3-6,high,high,yes,yes
W,B,M,M,Bachelors,Highschool,<3,<3,low,high,yes,no
B,B,M,F,Highschool,Masters,>6,>6,medium,medium,yes,yes
B,B,M,M,Masters,Bachelors,>6,>6,medium,high,no,yes
W,B,M,M,Bachelors,Masters,3-6,>6,medium,high,no,yes
W,B,F,M,Highschool,Highschool,<3,3-6,medium,medium,no,no
B,B,M,F,Highschool,Masters,3-6,>6,medium,low,yes,yes
W,B,F,M,Bachelors,Highschool,3-6,<3,high,high,no,no
B,B,M,F,Highschool,Bachelors,3-6,>6,medium,low,yes,yes
B,B,F,M,Bachelors,Highschool,3-6,<3,low,medium,no,no
B,B,M,F,Highschool,Bachelors,3-6,<3,medium,medium,no,no
B,B,F,F,Highschool,Highschool,3-6,>6,low,high,no,no
W,B,M,F,Masters,Bachelors,<3,>6,high,medium,no,yes
W,B,M,M,Bachelors,Highschool,>6,>6,low,low,yes,no
B,B,M,M,Bachelors,Bachelors,<3,>6,low,low,no,no
B,B,F,M,Masters,Bachelors,>6,3-6,medium,high,no,no
W,B,M,F,Bachelors,Bachelors,<3,<3,high,low,yes,yes
B,B,F,M,Bachelors,Bachelors,>6,3-6,high,high,no,no
B,B,M,F,Highschool,Highschool,>6,>6,high,high,yes,no
W,B,F,F,Highschool,Bachelors,>6,3-6,low,high,yes,yes
W,B,F,M,Bachelors,Highschool,3-6,3-6,high,low,no,no
W,B,F,M,Masters,Bachelors,<3,>6,high,low,yes,no
B,B,M,M,Highschool,Bachelors,>6,<3,medium,medium,yes,yes
W,B,F,M,Bachelors,Bachelors,>6,<3,low,low,no,yes
W,B,M,M,Masters,Highschool,>6,<3,medium,high,no,no
W,B,M,F,Bachelors,Masters,<3,3-6,high,low,yes,yes
B,B,M,M,Highschool,Masters,<3,<3,low,medium,no,no
W,B,F,M,Highschool,Bachelors,<3,<3,medium,low,no,no
W,B,F,M,Highschool,Masters,<3,3-6,high,medium,no,no
W,B,M,F,Highschool,Masters,>6,3-6,medium,high,no,yes
B,B,M,M,Highschool,Highschool,>6,>6,medium,low,no,no
W,B,F,F,Highschool,Bachelors,<3,3-6,high,low,no,yes
W,B,F,F,Bachelors,Bachelors,>6,3-6,high,high,no,no
W,B,F,M,Highschool,Bachelors,3-6,<3,high,high,no,yes
B,B,M,M,Highschool,Highschool,<3,>6,high,medium,no,yes
W,B,F,F,Bachelors,Masters,<3,>6,medium,high,no,no
B,B,M,M,Highschool,Bachelors,<3,>6,low,high,no,yes
W,B,M,M,Bachelors,Highschool,>6,3-6,low,medium,no,no
B,B,F,F,Masters,Bachelors,>6,>6,high,medium,yes,no
B,B,F,M,Masters,Highschool,3-6,3-6,high,low,yes,no
W,B,F,F,Bachelors,Masters,<3,3-6,medium,high,no,no
W,B,M,F,Bachelors,Masters,>6,>6,medium,medium,yes,no
W,B,F,M,Masters,Bachelors,>6,>6,high,high,yes,no
B,B,M,M,Highschool,Masters,>6,>6,medium,high,no,yes
W,B,M,M,Bachelors,Masters,>6,3-6,high,medium,no,no
B,B,F,F,Bachelors,Masters,3-6,>6,high,high,yes,no
B,B,M,M,Highschool,Highschool,3-6,3-6,high,medium,no,no
W,B,F,F,Masters,Bachelors,>6,>6,low,high,yes,yes
W,B,M,M,Bachelors,Highschool,3-6,<3,high,medium,yes,yes
B,B,F,M,Bachelors,Masters,<3,>6,high,low,yes,yes
W,B,M,F,Bachelors,Masters,<3,<3,medium,medium,no,no
B,B,M,M,Highschool,Masters,>6,3-6,medium,medium,no,yes
W,B,F,F,Masters,Masters,3-6,3-6,medium,medium,yes,yes
W,B,F,F,Masters,Bachelors,<3,3-6,medium,low,yes,no
B,B,F,M,Masters,Highschool,3-6,<3,low,high,yes,no
W,B,F,F,Masters,Masters,>6,3-6,low,low,yes,yes
W,B,F,F,Masters,Bachelors,3-6,>6,high,low,no,no
W,B,M,M,Bachelors,Highschool,>6,>6,low,high,no,no
B,B,F,F,Masters,Highschool,>6,>6,low,medium,yes,no
W,B,M,M,Bachelors,Bachelors,3-6,>6,high,low,yes,no
W,B,F,F,Highschool,Masters,<3,>6,medium,high,no,yes
W,B,F,M,Highschool,Masters,3-6,<3,low,medium,no,yes
B,B,M,M,Highschool,Highschool,3-6,3-6,high,high,yes,no
W,B,M,F,Bachelors,Highschool,3-6,3-6,low,low,no,no
W,B,F,M,Highschool,Bachelors,3-6,3-6,medium,high,yes,yes
B,B,M,F,Highschool,Bachelors,3-6,>6,low,high,no,no
W,B,M,F,Masters,Bachelors,<3,>6,low,low,yes,no
B,B,F,F,Bachelors,Highschool,<3,<3,medium,low,no,no
W,B,F,F,Bachelors,Bachelors,<3,3-6,high,high,yes,yes
B,B,F,F,Bachelors,Bachelors,<3,3-6,low,high,yes,no
W,B,F,M,Masters,Bachelors,3-6,<3,high,low,yes,no
W,B,M,F,Bachelors,Masters,>6,>6,medium,medium,no,yes
B,B,F,F,Bachelors,Masters,3-6,>6,high,high,yes,yes
W,B,M,F,Bachelors,Masters,>6,>6,high,medium,no,no
B,B,F,M,Masters,Bachelors,3-6,<3,medium,low,no,no
B,B,F,M,Masters,Bachelors,>6,<3,low,high,no,yes
B,B,F,M,Bachelors,Highschool,>6,3-6,medium,low,yes,no
W,B,F,M,Bachelors,Bachelors,>6,<3,medium,medium,yes,no
W,B,M,F,Masters,Bachelors,>6,3-6,medium,medium,yes,yes
B,B,M,M,Highschool,Bachelors,>6,>6,medium,high,no,yes
B,B,F,M,Bachelors,Bachelors,3-6,>6,high,medium,yes,no
W,B,F,M,Bachelors,Bachelors,>6,3-6,high,low,yes,yes
B,B,M,M,Highschool,Highschool,>6,>6,high,high,no,no
B,B,M,F,Highschool,Bachelors,3-6,>6,low,high,no,yes
W,B,M,M,Highschool,Bachelors,<3,>6,low,high,yes,no
W,B,F,M,Bachelors,Highschool,>6,>6,medium,high,yes,no
B,B,F,M,Bachelors,Highschool,<3,3-6,low,medium,no,yes
B,B,M,M,Highschool,Highschool,>6,<3,high,high,yes,no
B,B,F,F,Bachelors,Bachelors,3-6,>6,high,low,no,yes
B,B,M,M,Highschool,Bachelors,<3,>6,medium,medium,no,no
W,B,M,M,Bachelors,Highschool,3-6,3-6,high,high,no,no
B,B,M,F,Highschool,Masters,3-6,>6,medium,low,no,yes
B,B,M,M,Highschool,Bachelors,>6,<3,medium,high,no,yes
B,B,M,M,Highschool,Bachelors,<3,<3,high,medium,yes,yes
W,B,M,M,Masters,Highschool,>6,3-6,high,high,yes,yes
B,B,F,F,Masters,Bachelors,3-6,>6,high,low,yes,no
W,B,F,F,Masters,Highschool,>6,>6,low,high,no,yes
B,B,M,F,Highschool,Bachelors,<3,>6,low,high,no,no
W,B,M,F,Masters,Bachelors,>6,>6,low,high,yes,yes
W,B,F,M,Bachelors,Highschool,>6,<3,low,low,yes,no
W,B,F,M,Bachelors,Highschool,3-6,3-6,high,low,no,yes
W,B,M,M,Bachelors,Bachelors,>6,3-6,high,low,yes,yes
W,B,M,F,Bachelors,Bachelors,>6,3-6,medium,low,yes,no
W,B,F,F,Bachelors,Masters,<3,<3,low,medium,yes,no
W,B,F,F,Masters,Bachelors,>6,>6,medium,medium,yes,yes
B,B,M,F,Highschool,Masters,<3,<3,high,high,yes,yes
W,B,M,M,Masters,Highschool,>6,>6,medium,low,yes,yes
W,B,M,M,Bachelors,Highschool,3-6,>6,medium,low,yes,yes
W,B,F,M,Bachelors,Highschool,<3,<3,high,medium,no,yes
B,B,F,F,Bachelors,Bachelors,<3,3-6,low,low,no,yes
W,B,F,M,Bachelors,Masters,<3,<3,medium,high,yes,yes
B,B,F,M,Bachelors,Highschool,>6,<3,medium,high,yes,no
W,B,F,M,Masters,Masters,>6,3-6,medium,medium,yes,no
B,B,M,F,Highschool,Bachelors,3-6,<3,high,low,yes,no
W,B,F,F,Bachelors,Masters,>6,3-6,medium,medium,no,no
W,B,F,M,Bachelors,Bachelors,<3,>6,medium,medium,yes,no
B,B,M,F,Highschool,Bachelors,3-6,>6,low,medium,no,yes
B,B,M,M,Highschool,Bachelors,<3,>6,low,high,yes,no
B,B,F,M,Masters,Highschool,<3,3-6,low,high,no,yes
B,B,M,M,Highschool,Masters,3-6,3-6,high,low,yes,no
B,B,M,M,Highschool,Masters,>6,>6,high,low,no,no
W,B,M,F,Bachelors,Highschool,<3,>6,low,high,no,no
W,B,F,M,Bachelors,Masters,>6,>6,medium,high,no,yes
W,B,M,M,Masters,Highschool,<3,3-6,low,medium,yes,no
B,B,F,M,Masters,Bachelors,3-6,<3,high,medium,yes,yes
W,B,M,F,Bachelors,Bachelors,>6,3-6,medium,high,yes,yes
B,B,F,M,Highschool,Bachelors,3-6,<3,medium,medium,no,no
B,B,M,F,Masters,Bachelors,3-6,3-6,high,low,yes,yes
B,B,F,M,Bachelors,Masters,<3,3-6,low,low,yes,yes
B,B,F,M,Masters,Highschool,3-6,>6,medium,high,no,no
B,B,M,F,Highschool,Masters,3-6,3-6,low,high,yes,no
B,B,F,M,Bachelors,Masters,<3,>6,medium,medium,no,yes
B,B,M,F,Highschool,Bachelors,<3,<3,low,high,no,no
B,B,F,F,Masters,Bachelors,>6,>6,medium,medium,yes,no
W,B,M,M,Bachelors,Masters,<3,3-6,high,low,yes,yes
B,B,F,M,Highschool,Bachelors,<3,>6,low,low,no,no
W,B,F,F,Highschool,Masters,3-6,>6,low,medium,no,yes
W,B,M,F,Masters,Masters,>6,>6,medium,medium,yes,yes
W,B,M,F,Masters,Masters,>6,>6,low,high,yes,yes
B,B,M,M,Bachelors,Highschool,3-6,<3,high,medium,yes,yes
W,B,F,F,Highschool,Bachelors,3-6,<3,low,low,no,yes
B,B,F,M,Masters,Masters,>6,>6,medium,high,no,no
W,B,M,M,Bachelors,Bachelors,3-6,>6,medium,low,yes,yes
B,B,F,M,Masters,Masters,<3,3-6,high,low,yes,yes
B,B,F,F,Masters,Masters,3-6,>6,medium,low,yes,yes
B,B,M,F,Highschool,Bachelors,3-6,3-6,high,low,no,no
B,B,F,M,Masters,Masters,>6,<3,medium,high,yes,yes
W,B,M,M,Masters,Bachelors,<3,<3,low,low,yes,yes
W,B,F,M,Highschool,Highschool,>6,3-6,medium,medium,no,yes
B,B,M,M,Highschool,Masters,<3,<3,medium,high,no,no
B,B,M,F,Highschool,Bachelors,<3,<3,low,high,no,yes
W,B,F,F,Masters,Masters,3-6,<3,high,medium,yes,yes
B,B,F,M,Bachelors,Bachelors,>6,<3,medium,low,no,no
W,B,F,F,Bachelors,Bachelors,>6,<3,high,low,yes,no
B,B,M,M,Highschool,Bachelors,>6,>6,high,high,no,no
W,B,M,F,Highschool,Bachelors,3-6,<3,low,high,no,yes
B,B,F,M,Highschool,Masters,>6,<3,medium,low,no,no
W,B,M,M,Masters,Bachelors,<3,3-6,medium,low,yes,no
W,B,F,F,Masters,Bachelors,>6,3-6,high,low,yes,yes
B,B,F,M,Masters,Bachelors,>6,<3,low,medium,yes,no
B,B,F,M,Highschool,Highschool,>6,>6,medium,low,no,no
W,B,M,F,Bachelors,Highschool,3-6,<3,high,medium,yes,yes
W,B,M,M,Masters,Masters,3-6,>6,high,medium,no,no
W,B,M,F,Highschool,Masters,<3,3-6,high,high,yes,yes
W,B,F,F,Highschool,Highschool,>6,>6,low,medium,no,yes
B,B,F,F,Bachelors,Bachelors,3-6,<3,high,medium,no,no
W,B,F,F,Highschool,Bachelors,<3,<3,low,low,no,no
B,B,M,F,Highschool,Bachelors,3-6,<3,high,high,yes,no
B,B,M,F,Highschool,Highschool,<3,<3,medium,high,no,no
W,B,F,M,Highschool,Masters,>6,>6,low,high,no,no
B,B,F,M,Bachelors,Highschool,3-6,>6,medium,high,yes,no
B,B,M,M,Highschool,Masters,<3,<3,medium,high,no,no
W,B,F,F,Masters,Highschool,3-6,<3,medium,low,no,yes
B,B,M,M,Highschool,Highschool,3-6,<3,high,high,yes,no
W,B,F,F,Bachelors,Masters,>6,3-6,low,medium,no,yes
W,B,M,M,Bachelors,Masters,<3,>6,medium,low,yes,yes
B,B,M,F,Highschool,Masters,3-6,3-6,high,high,yes,yes
W,B,F,M,Bachelors,Bachelors,3-6,<3,medium,low,yes,yes
W,B,F,M,Highschool,Bachelors,<3,>6,low,low,no,no
W,B,F,M,Bachelors,Highschool,3-6,>6,low,high,no,yes
B,B,F,M,Bachelors,Masters,3-6,>6,high,low,no,yes
W,B,M,F,Masters,Highschool,<3,>6,high,high,yes,yes
B,B,M,F,Masters,Highschool,<3,>6,medium,high,no,no
W,B,M,F,Masters,Highschool,3-6,3-6,low,high,no,yes
W,B,M,F,Highschool,Masters,<3,>6,low,medium,no,yes
B,B,F,M,Masters,Bachelors,>6,<3,low,high,no,yes
B,B,F,F,Bachelors,Bachelors,3-6,>6,low,high,yes,yes
B,B,F,F,Masters,Bachelors,>6,<3,high,medium,yes,yes
B,B,M,M,Highschool,Bachelors,>6,3-6,low,medium,yes,yes
W,B,M,F,Bachelors,Bachelors,<3,3-6,medium,high,no,yes
B,B,F,F,Bachelors,Bachelors,>6,3-6,medium,low,yes,no
B,B,F,F,Bachelors,Masters,3-6,>6,medium,high,no,yes
W,B,F,F,Highschool,Masters,<3,>6,low,high,no,yes
B,B,M,F,Bachelors,Masters,>6,3-6,medium,high,no,yes
W,B,F,F,Highschool,Bachelors,<3,>6,high,medium,no,yes
W,B,F,F,Bachelors,Bachelors,3-6,>6,high,low,yes,yes
B,B,F,M,Bachelors,Highschool,3-6,<3,high,medium,no,yes
W,B,F,F,Bachelors,Bachelors,<3,3-6,low,low,yes,yes
W,B,M,F,Highschool,Bachelors,3-6,<3,high,low,no,yes
B,B,F,F,Masters,Bachelors,3-6,3-6,medium,medium,yes,no
W,B,M,M,Bachelors,Bachelors,<3,3-6,high,high,yes,yes
B,B,M,F,Bachelors,Highschool,3-6,3-6,medium,high,no,no
W,B,M,M,Bachelors,Bachelors,>6,3-6,medium,high,no,yes
W,B,M,M,Masters,Highschool,<3,3-6,medium,low,yes,no
W,B,F,F,Bachelors,Bachelors,>6,>6,low,medium,no,no
W,B,M,M,Highschool,Highschool,<3,>6,medium,high,yes,yes
B,B,M,M,Highschool,Masters,<3,>6,high,high,no,yes
B,B,M,F,Highschool,Bachelors,3-6,3-6,high,high,no,yes
B,B,M,F,Highschool,Bachelors,>6,3-6,high,high,no,no
B,B,F,M,Highschool,Highschool,>6,3-6,high,high,yes,no
W,B,F,M,Highschool,Highschool,>6,>6,high,medium,yes,no
B,B,M,F,Highschool,Bachelors,3-6,<3,medium,low,no,no
W,B,F,M,Bachelors,Bachelors,3-6,<3,low,low,yes,no
B,B,M,M,Highschool,Highschool,>6,<3,medium,medium,no,no
W,B,M,M,Masters,Masters,<3,<3,low,high,yes,yes
W,B,M,M,Bachelors,Highschool,<3,>6,low,medium,no,no
W,B,F,M,Masters,Bachelors,<3,>6,low,medium,yes,no
B,B,M,F,Bachelors,Bachelors,>6,3-6,low,low,yes,no
W,B,F,M,Bachelors,Highschool,<3,<3,high,low,no,no
B,B,F,F,Masters,Masters,<3,>6,low,medium,yes,yes
B,B,F,F,Bachelors,Bachelors,<3,3-6,high,low,yes,yes
W,B,M,F,Highschool,Bachelors,>6,3-6,high,low,yes,no
W,B,F,F,Masters,Masters,<3,3-6,low,low,yes,yes
W,B,M,M,Bachelors,Bachelors,>6,<3,low,high,no,yes
W,B,M,M,Bachelors,Bachelors,<3,<3,high,low,yes,no
B,B,M,M,Highschool,Masters,3-6,3-6,high,low,no,no
B,B,M,F,Highschool,Bachelors,3-6,<3,low,high,yes,no
W,B,F,M,Masters,Highschool,3-6,<3,low,high,yes,no
W,B,F,F,Masters,Bachelors,3-6,<3,medium,high,yes,no
W,B,F,F,Bachelors,Masters,>6,3-6,medium,medium,no,yes
B,B,M,M,Highschool,Masters,3-6,<3,medium,low,yes,no
W,B,F,M,Bachelors,Bachelors,<3,<3,medium,medium,no,no
W,B,F,M,Highschool,Masters,3-6,3-6,medium,high,no,no
W,B,M,M,Bachelors,Bachelors,3-6,3-6,high,low,yes,no
W,B,M,F,Highschool,Bachelors,3-6,>6,low,high,yes,yes
W,B,F,M,Bachelors,Highschool,<3,>6,high,medium,no,yes
W,B,M,F,Masters,Masters,>6,<3,high,high,yes,no
B,B,M,F,Highschool,Bachelors,>6,>6,low,high,no,yes
W,B,F,M,Masters,Highschool,<3,>6,medium,medium,no,yes
W,B,F,F,Bachelors,Bachelors,>6,3-6,low,low,yes,no
W,B,M,M,Masters,Bachelors,<3,>6,low,medium,yes,yes
B,B,F,M,Bachelors,Masters,>6,>6,medium,high,yes,yes
B,B,F,F,Masters,Masters,>6,<3,medium,medium,yes,yes
B,B,F,M,Highschool,Highschool,>6,>6,medium,high,no,no
B,B,F,F,Bachelors,Bachelors,<3,>6,low,low,yes,yes
W,B,M,M,Bachelors,Bachelors,3-6,<3,low,high,yes,no
B,B,M,M,Highschool,Masters,3-6,3-6,high,low,no,yes
B,B,M,M,Highschool,Masters,>6,<3,low,low,yes,no
B,B,M,F,Bachelors,Bachelors,<3,>6,high,high,no,yes
B,B,M,M,Highschool,Highschool,>6,>6,low,medium,no,no
W,B,F,M,Bachelors,Highschool,<3,3-6,low,medium,no,no
W,B,F,F,Bachelors,Highschool,3-6,>6,high,high,yes,yes
W,B,F,M,Bachelors,Highschool,3-6,>6,medium,low,yes,no
W,B,F,F,Masters,Highschool,>6,3-6,medium,medium,no,yes
W,B,F,F,Masters,Masters,<3,>6,high,high,yes,yes
W,B,F,F,Bachelors,Bachelors,>6,<3,medium,high,yes,yes
B,B,M,M,Highschool,Highschool,>6,3-6,high,low,no,no
W,B,F,M,Highschool,Highschool,<3,3-6,low,medium,no,yes
W,B,F,F,Masters,Highschool,<3,>6,low,low,yes,no
W,B,F,M,Highschool,Highschool,>6,>6,low,high,yes,no
B,B,M,M,Masters,Bachelors,>6,<3,medium,medium,no,yes
B,B,M,M,Highschool,Bachelors,>6,>6,low,medium,no,no
W,B,F,M,Bachelors,Highschool,<3,<3,high,high,yes,yes
W,B,F,F,Highschool,Masters,3-6,3-6,high,low,yes,no
B,B,F,F,Bachelors,Highschool,3-6,>6,low,low,no,no
W,B,F,F,Bachelors,Bachelors,<3,>6,high,high,yes,no
W,B,F,F,Bachelors,Bachelors,3-6,<3,high,medium,yes,yes
W,B,F,M,Bachelors,Bachelors,>6,>6,medium,low,yes,yes
B,B,M,M,Highschool,Highschool,3-6,<3,low,low,no,no
W,B,F,M,Bachelors,Masters,>6,>6,low,low,yes,yes
W,B,F,F,Bachelors,Masters,>6,3-6,low,medium,no,yes
B,B,F,M,Masters,Bachelors,<3,>6,high,medium,yes,yes
W,B,M,M,Masters,Masters,>6,>6,medium,medium,yes,yes
W,B,F,F,Masters,Bachelors,>6,<3,high,medium,yes,no
W,B,F,M,Highschool,Masters,3-6,3-6,medium,low,no,yes
W,B,M,F,Highschool,Masters,3-6,>6,medium,medium,no,no
B,B,F,F,Highschool,Highschool,3-6,<3,high,high,no,yes
B,B,F,M,Bachelors,Highschool,3-6,<3,medium,low,no,yes
W,B,M,M,Bachelors,Bachelors,3-6,<3,medium,low,yes,yes
W,B,F,M,Masters,Bachelors,3-6,3-6,medium,high,yes,yes
W,B,M,F,Masters,Bachelors,3-6,3-6,medium,medium,yes,no
B,B,M,M,Highschool,Masters,>6,>6,low,medium,no,no
W,B,M,M,Bachelors,Bachelors,<3,<3,medium,high,yes,yes
W,B,M,F,Bachelors,Bachelors,3-6,<3,low,low,yes,yes
W,B,M,M,Bachelors,Bachelors,>6,<3,low,high,yes,no
B,B,F,M,Highschool,Highschool,>6,3-6,medium,medium,yes,no
