Feature_A_(i),Feature_A_(i)-noFeature_A_(i),Feature_B_(2i),Feature_B_(2i)-noFeature_A_(i),Feature_C_(-i),Feature_C_(-i)-noFeature_A_(i),Constant_Feature,Constant_Feature-noFeature_A_(i),Random_Feature,Random_Feature-noFeature_A_(i),Outcome,Outcome-noFeature_A_(i)
5088,4787,10176,6214,-5088,-3108,1,1,0.443599254405197,0.45443658440763757,B,B
5090,4787,10180,6214,-5090,-3108,1,1,0.552143606909082,0.5437811418999469,B,B
5092,4787,10184,6226,-5092,-3114,1,1,0.6640917281552415,0.6676345312549455,B,B
5093,4787,10186,6226,-5093,-3114,1,1,0.5167462272100819,0.5057843245177359,B,B
5094,4787,10188,6226,-5094,-3114,1,1,0.8750523871850592,0.8844562399641169,B,B
5095,4787,10190,6226,-5095,-3114,1,1,0.9242069702129302,0.9155804834289545,B,B
5096,4787,10192,6226,-5096,-3114,1,1,0.9658713792173621,0.9708335991200716,B,B
5098,4787,10196,6238,-5098,-3120,1,1,0.43084345791172196,0.43084017934406293,B,B
5099,4787,10198,6238,-5099,-3120,1,1,0.059568034576598206,0.08139052448728146,B,B
5100,4787,10200,6238,-5100,-3120,1,1,0.1676576743945677,0.17573684250755928,B,B
5101,4787,10202,6238,-5101,-3120,1,1,0.10836846163781699,0.11766008071769851,B,B
5103,4787,10206,6238,-5103,-3120,1,1,0.6185616736968093,0.6185616736968093,B,B
5104,4787,10208,6250,-5104,-3125,1,1,0.9407400612469655,0.9358892092224953,B,B
5105,4787,10210,6250,-5105,-3125,1,1,0.25747225539637275,0.2556376638625464,B,B
5106,4787,10212,6250,-5106,-3125,1,1,0.6827160525262556,0.6676345312549455,B,B
5107,4787,10214,6250,-5107,-3125,1,1,0.6559493976536193,0.6567225731105883,B,B
5108,4787,10216,6250,-5108,-3125,1,1,0.3840642056889294,0.3838453928986345,B,B
5109,4787,10218,6260,-5109,-3131,1,1,0.3945250687515027,0.3994271172644791,B,B
5110,4787,10220,6260,-5110,-3131,1,1,0.9127593601633454,0.9155804834289545,B,B
5111,4787,10222,6260,-5111,-3131,1,1,0.03449481338110738,0.02540337192260267,B,B
5112,4787,10224,6260,-5112,-3131,1,1,0.2075176095297434,0.20479149534265284,B,B
5113,4787,10226,6260,-5113,-3131,1,1,0.6011610304852129,0.5970130310756897,B,B
5115,4787,10230,6272,-5115,-3137,1,1,0.5487576631530597,0.5287072142744291,B,B
5116,4787,10232,6272,-5116,-3137,1,1,0.001852810683583228,0.009431753548861166,B,B
5118,4787,10236,6272,-5118,-3137,1,1,0.09400017621207846,0.11766008071769851,B,B
5119,4787,10238,6272,-5119,-3137,1,1,0.338526242820692,0.34394625120281785,B,B
5121,4787,10242,6284,-5121,-3143,1,1,0.20254581160592577,0.20479149534265284,B,B
5123,4787,10246,6284,-5123,-3143,1,1,0.6061848691921133,0.5970130310756897,B,B
5124,4787,10248,6284,-5124,-3143,1,1,0.39440334408760935,0.3838453928986345,B,B
5125,4787,10250,6284,-5125,-3143,1,1,0.8263425515120277,0.8483288367488273,B,B
5126,4787,10252,6284,-5126,-3143,1,1,0.7140438429410529,0.7124266951977283,B,B
5127,4787,10254,6296,-5127,-3148,1,1,0.05912162075637073,0.08139052448728146,B,B
5128,4787,10256,6296,-5128,-3148,1,1,0.4394600531766458,0.43084017934406293,B,B
5129,4787,10258,6296,-5129,-3148,1,1,0.9025552190788354,0.897897211542344,B,B
5131,4787,10262,6296,-5131,-3148,1,1,0.7175815086345512,0.7124266951977283,B,B
5132,4787,10264,6306,-5132,-3154,1,1,0.5452061126667364,0.5287072142744291,B,B
5135,4787,10270,6306,-5135,-3154,1,1,0.7688401684508309,0.7752105467541478,B,B
5136,4787,10272,6306,-5136,-3154,1,1,0.279783069459154,0.2705870793149804,B,B
5137,4787,10274,6306,-5137,-3154,1,1,0.18772960339659084,0.18991284810616926,B,B
5138,4787,10276,6318,-5138,-3160,1,1,0.4127659443871443,0.41436990175995514,B,B
5139,4787,10278,6318,-5139,-3160,1,1,0.728604532769909,0.7248533491587095,B,B
5141,4787,10282,6318,-5141,-3160,1,1,0.15732210265061608,0.1556084896784825,B,B
5142,4787,10284,6318,-5142,-3160,1,1,0.048098116585384765,0.046636926221635844,B,B
5145,4787,10290,6330,-5145,-3166,1,1,0.3214002253673759,0.30887378737929305,B,B
5146,4787,10292,6330,-5146,-3166,1,1,0.6509830568683026,0.6403485791625139,B,B
5147,4787,10294,6330,-5147,-3166,1,1,0.5104047757500149,0.4863973973956013,B,B
5150,4787,10300,6342,-5150,-3172,1,1,0.01851096233516103,0.009431753548861166,B,B
5151,4787,10302,6342,-5151,-3172,1,1,0.9335552318738451,0.9358892092224953,B,B
5154,4787,10308,6342,-5154,-3172,1,1,0.9315902741970327,0.9358892092224953,B,B
5155,4787,10310,6342,-5155,-3172,1,1,0.23244355929604532,0.23139716590926385,B,B
5156,4787,10312,6354,-5156,-3177,1,1,0.582537627789942,0.5738128596868537,B,B
5157,4787,10314,6354,-5157,-3177,1,1,0.3658606941143284,0.36326959483172827,B,B
5158,4787,10316,6354,-5158,-3177,1,1,0.7727300561692416,0.7978402972390728,B,B
5160,4787,10320,6354,-5160,-3177,1,1,0.022185335541667572,0.02540337192260267,B,B
5161,4787,10322,6364,-5161,-3183,1,1,0.05686515404583836,0.06575410935862658,B,B
5162,4787,10324,6364,-5162,-3183,1,1,0.7793573198673707,0.7978402972390728,B,B
5163,4787,10326,6364,-5163,-3183,1,1,0.9439888497038574,0.9556519694980462,B,B
5164,4787,10328,6364,-5164,-3183,1,1,0.9416363813193819,0.9358892092224953,B,B
5166,4787,10332,6364,-5166,-3183,1,1,0.34394625120281785,0.34394625120281785,B,B
5168,4787,10336,6376,-5168,-3189,1,1,0.9857717531918516,0.9867277963524416,B,B
5169,4787,10338,6376,-5169,-3189,1,1,0.3842281942914275,0.3838453928986345,B,B
5172,4787,10344,6376,-5172,-3189,1,1,0.6424145982950707,0.6403485791625139,B,B
5173,4787,10346,6388,-5173,-3195,1,1,0.5423606049738098,0.5184576116122209,B,B
5175,4787,10350,6388,-5175,-3195,1,1,0.6048896447861067,0.5970130310756897,B,B
5179,4787,10358,6400,-5179,-3201,1,1,0.4510155190547783,0.45443658440763757,B,B
5180,4787,10360,6400,-5180,-3201,1,1,0.14974948721306924,0.14001508031831478,B,B
5181,4787,10362,6400,-5181,-3201,1,1,0.1431937361763479,0.14001508031831478,B,B
5182,4787,10364,6400,-5182,-3201,1,1,0.4627858932606661,0.4686479736942557,B,B
5183,4787,10366,6400,-5183,-3201,1,1,0.5856758887970422,0.5738128596868537,B,B
5184,4787,10368,6400,-5184,-3201,1,1,0.8613404262525491,0.8483288367488273,B,B
5185,4787,10370,6412,-5185,-3206,1,1,0.325252607208695,0.30887378737929305,B,B
5188,4787,10376,6412,-5188,-3206,1,1,0.058055863947706565,0.08139052448728146,B,B
5191,4787,10382,6422,-5191,-3212,1,1,0.20051742289309005,0.18991284810616926,B,B
5192,4787,10384,6422,-5192,-3212,1,1,0.09325787692822507,0.11766008071769851,B,B
5193,4787,10386,6422,-5193,-3212,1,1,0.33389409827057437,0.33085674641798635,B,B
5195,4787,10390,6422,-5195,-3212,1,1,0.014454281775754252,0.009431753548861166,B,B
5198,4787,10396,6434,-5198,-3218,1,1,0.7995195827890836,0.836604570279811,B,B
5201,4787,10402,6434,-5201,-3218,1,1,0.6499095060994966,0.6403485791625139,B,B
5202,4787,10404,6446,-5202,-3224,1,1,0.2299326684293156,0.23139716590926385,B,B
5203,4787,10406,6446,-5203,-3224,1,1,0.2609606372954797,0.2556376638625464,B,B
5204,4787,10408,6446,-5204,-3224,1,1,0.5138995509532749,0.5057843245177359,B,B
5205,4787,10410,6446,-5205,-3224,1,1,0.6858886272114586,0.6676345312549455,B,B
5206,4787,10412,6446,-5206,-3224,1,1,0.15167798519304254,0.1556084896784825,B,B
5207,4787,10414,6446,-5207,-3224,1,1,0.8617767550130003,0.8659373859054671,B,B
5208,4787,10416,6458,-5208,-3230,1,1,0.07359670945780727,0.09584927697217083,B,B
5209,4787,10418,6458,-5209,-3230,1,1,0.02934915721353648,0.02540337192260267,B,B
5210,4787,10420,6458,-5210,-3230,1,1,0.8993360997424313,0.897897211542344,B,B
5211,4787,10422,6458,-5211,-3230,1,1,0.8758266274724348,0.8844562399641169,B,B
5212,4787,10424,6458,-5212,-3230,1,1,0.07779264926151785,0.09584927697217083,B,B
5215,4787,10430,6470,-5215,-3235,1,1,0.28818761053423314,0.29312155847436416,B,B
5216,4787,10432,6470,-5216,-3235,1,1,0.2228457884286288,0.2200783515824032,B,B
5217,4787,10434,6470,-5217,-3235,1,1,0.6619389164588547,0.6676345312549455,B,B
5219,4787,10438,6480,-5219,-3241,1,1,0.7927245207347263,0.81093086149687,B,B
5220,4787,10440,6480,-5220,-3241,1,1,0.9872281829784695,0.9867277963524416,B,B
5223,4787,10446,6480,-5223,-3241,1,1,0.43084017934406293,0.43084017934406293,B,B
5224,4787,10448,6480,-5224,-3241,1,1,0.2401940639130672,0.2556376638625464,B,B
5225,4787,10450,6492,-5225,-3247,1,1,0.4848173846184588,0.4863973973956013,B,B
5226,4787,10452,6492,-5226,-3247,1,1,0.5477978306134171,0.5287072142744291,B,B
5228,4787,10456,6492,-5228,-3247,1,1,0.5330153111137755,0.5184576116122209,B,B
5230,4787,10460,6492,-5230,-3247,1,1,0.04743741345035879,0.046636926221635844,B,B
5231,4787,10462,6504,-5231,-3253,1,1,0.8308408604824963,0.8483288367488273,B,B
5232,4787,10464,6504,-5232,-3253,1,1,0.9391160824883276,0.9358892092224953,B,B
5233,4787,10466,6504,-5233,-3253,1,1,0.20479149534265284,0.20479149534265284,B,B
5234,4787,10468,6504,-5234,-3253,1,1,0.05794504250511345,0.06575410935862658,B,B
5235,4787,10470,6504,-5235,-3253,1,1,0.12647172223635617,0.14001508031831478,B,B
5236,4787,10472,6504,-5236,-3253,1,1,0.022327946760442696,0.02540337192260267,B,B
5237,4787,10474,6516,-5237,-3258,1,1,0.7376129868779303,0.7248533491587095,B,B
5238,4787,10476,6516,-5238,-3258,1,1,0.07546127645275635,0.09584927697217083,B,B
5240,4787,10480,6516,-5240,-3258,1,1,0.11316552254251067,0.11766008071769851,B,B
5241,4787,10482,6516,-5241,-3258,1,1,0.5560969731854732,0.5437811418999469,B,B
5243,4787,10486,6526,-5243,-3264,1,1,0.07263698750266989,0.08139052448728146,B,B
5244,4787,10488,6526,-5244,-3264,1,1,0.7419939595555657,0.74048802736636,B,B
5247,4787,10494,6526,-5247,-3264,1,1,0.2182364517615022,0.2200783515824032,B,B
5248,4787,10496,6538,-5248,-3270,1,1,0.7570056622367977,0.7650504588350444,B,B
5249,4787,10498,6538,-5249,-3270,1,1,0.2728334624625507,0.2705870793149804,B,B
5250,4787,10500,6538,-5250,-3270,1,1,0.522010721439777,0.5057843245177359,B,B
5251,4787,10502,6538,-5251,-3270,1,1,0.1770233786502159,0.17573684250755928,B,B
5252,4787,10504,6538,-5252,-3270,1,1,0.7845526215831992,0.81093086149687,B,B
5253,4787,10506,6538,-5253,-3270,1,1,0.5280325793755398,0.5184576116122209,B,B
5254,4787,10508,6550,-5254,-3276,1,1,0.5438088723616952,0.5287072142744291,B,B
5257,4787,10514,6550,-5257,-3276,1,1,0.767330992556063,0.7752105467541478,B,B
5259,4787,10518,6550,-5259,-3276,1,1,0.7749054488486943,0.7978402972390728,B,B
5260,4787,10520,6562,-5260,-3282,1,1,0.8742130781269516,0.8844562399641169,B,B
5261,4787,10522,6562,-5261,-3282,1,1,0.42284913778235267,0.41436990175995514,B,B
5262,4787,10524,6562,-5262,-3282,1,1,0.17168995386369057,0.17573684250755928,B,B
5264,4787,10528,6562,-5264,-3282,1,1,0.5707143756900209,0.5738128596868537,B,B
5265,4787,10530,6562,-5265,-3282,1,1,0.745916407252705,0.7650504588350444,B,B
5266,4787,10532,6574,-5266,-3287,1,1,0.836630823140524,0.8483288367488273,B,B
5271,4787,10542,6584,-5271,-3293,1,1,0.9837695389596135,0.9867277963524416,B,B
5272,4787,10544,6584,-5272,-3293,1,1,0.4630727030444246,0.4686479736942557,B,B
5274,4787,10548,6584,-5274,-3293,1,1,0.2938664342738727,0.29312155847436416,B,B
5275,4787,10550,6584,-5275,-3293,1,1,0.7042456298930451,0.6865687000926515,B,B
5276,4787,10552,6584,-5276,-3293,1,1,0.19909557578013637,0.18991284810616926,B,B
5277,4787,10554,6596,-5277,-3299,1,1,0.7396260187825805,0.7248533491587095,B,B
5278,4787,10556,6596,-5278,-3299,1,1,0.9997604042324827,0.9867277963524416,B,B
5280,4787,10560,6596,-5280,-3299,1,1,0.644607601588327,0.6403485791625139,B,B
5281,4787,10562,6596,-5281,-3299,1,1,0.41836948577420563,0.41436990175995514,B,B
5282,4787,10564,6596,-5282,-3299,1,1,0.0701697560997313,0.08139052448728146,B,B
5284,4787,10568,5948,-5284,-2975,1,1,0.9608831939496413,0.9556519694980462,B,B
5285,4787,10570,5948,-5285,-2975,1,1,0.4221386719491863,0.4686479736942557,B,B
5286,4787,10572,5948,-5286,-2975,1,1,0.8416007793950352,0.836604570279811,B,B
5287,4787,10574,5948,-5287,-2975,1,1,0.4007919482145337,0.43084017934406293,B,B
5288,4787,10576,5948,-5288,-2975,1,1,0.8767847464886103,0.8659373859054671,B,B
5289,4787,10578,5960,-5289,-2981,1,1,0.6169145382560259,0.6185616736968093,B,B
5290,4787,10580,5960,-5290,-2981,1,1,0.005587647729556333,0.009431753548861166,B,B
5291,4787,10582,5960,-5291,-2981,1,1,0.905241990830248,0.897897211542344,B,B
5292,4787,10584,5960,-5292,-2981,1,1,0.2865507641619167,0.33085674641798635,B,B
5293,4787,10586,5960,-5293,-2981,1,1,0.23737033152258713,0.29312155847436416,B,B
5294,4787,10588,5960,-5294,-2981,1,1,0.18872275449636344,0.2200783515824032,B,B
5295,4787,10590,5972,-5295,-2986,1,1,0.6670476810508106,0.6676345312549455,B,B
5296,4787,10592,5972,-5296,-2986,1,1,0.7650504588350444,0.7650504588350444,B,B
5298,4787,10596,5972,-5298,-2986,1,1,0.3774518772762553,0.3994271172644791,B,B
5299,4787,10598,5972,-5299,-2986,1,1,0.9071629249543626,0.897897211542344,B,B
5300,4787,10600,5982,-5300,-2992,1,1,0.18142219760340705,0.18991284810616926,B,B
5301,4787,10602,5982,-5301,-2992,1,1,0.6093154238491372,0.6185616736968093,B,B
5302,4787,10604,5982,-5302,-2992,1,1,0.3335143104688182,0.36326959483172827,B,B
5303,4787,10606,5982,-5303,-2992,1,1,0.6450611585702635,0.6676345312549455,B,B
5305,4787,10610,5982,-5305,-2992,1,1,0.39846085970830203,0.43084017934406293,B,B
5306,4787,10612,5994,-5306,-2998,1,1,0.9114305801203519,0.9155804834289545,B,B
5308,4787,10616,5994,-5308,-2998,1,1,0.1430291169815937,0.14001508031831478,B,B
5310,4787,10620,5994,-5310,-2998,1,1,0.07340035731857308,0.08139052448728146,B,B
5311,4787,10622,5994,-5311,-2998,1,1,0.5402293370495801,0.5437811418999469,B,B
5312,4787,10624,6006,-5312,-3004,1,1,0.3834581458732895,0.41436990175995514,B,B
5314,4787,10628,6006,-5314,-3004,1,1,0.9830973646491348,0.9867277963524416,B,B
5315,4787,10630,6006,-5315,-3004,1,1,0.47570479234007723,0.5057843245177359,B,B
5316,4787,10632,6006,-5316,-3004,1,1,0.13558932989253802,0.14001508031831478,B,B
5318,4787,10636,6018,-5318,-3010,1,1,0.33836221589285975,0.36326959483172827,B,B
5319,4787,10638,6018,-5319,-3010,1,1,0.019977049983589512,0.009431753548861166,B,B
5321,4787,10642,6018,-5321,-3010,1,1,0.9869055815430456,0.9867277963524416,B,B
5323,4787,10646,6018,-5323,-3010,1,1,0.7685371488358171,0.7650504588350444,B,B
5324,4787,10648,6030,-5324,-3015,1,1,0.8617016942099673,0.8483288367488273,B,B
5325,4787,10650,6030,-5325,-3015,1,1,0.644581359725334,0.6567225731105883,B,B
5326,4787,10652,6030,-5326,-3015,1,1,0.3389072119142629,0.36326959483172827,B,B
5327,4787,10654,6030,-5327,-3015,1,1,0.6417182181878269,0.6567225731105883,B,B
5329,4787,10658,6040,-5329,-3021,1,1,0.6606880839187464,0.6676345312549455,B,B
5331,4787,10662,6040,-5331,-3021,1,1,0.21463524526215938,0.2556376638625464,B,B
5332,4787,10664,6040,-5332,-3021,1,1,0.06815492004792734,0.08139052448728146,B,B
5334,4787,10668,6040,-5334,-3021,1,1,0.5853450171125806,0.5970130310756897,B,B
5335,4787,10670,6052,-5335,-3027,1,1,0.8576818758292415,0.8483288367488273,B,B
5338,4787,10676,6052,-5338,-3027,1,1,0.4317177112546112,0.4686479736942557,B,B
5340,4787,10680,6052,-5340,-3027,1,1,0.6016217722577313,0.5970130310756897,B,B
5342,4787,10684,6064,-5342,-3033,1,1,0.32977130726220794,0.36326959483172827,B,B
5343,4787,10686,6064,-5343,-3033,1,1,0.051014880770150484,0.06575410935862658,B,B
5344,4787,10688,6064,-5344,-3033,1,1,0.051054678337834725,0.06575410935862658,B,B
5345,4787,10690,6064,-5345,-3033,1,1,0.9064896671833333,0.897897211542344,B,B
5347,4787,10694,6076,-5347,-3038,1,1,0.6753754663034105,0.6865687000926515,B,B
5348,4787,10696,6076,-5348,-3038,1,1,0.600787432682414,0.5970130310756897,B,B
5350,4787,10700,6076,-5350,-3038,1,1,0.9763244885979361,0.9708335991200716,B,B
5351,4787,10702,6076,-5351,-3038,1,1,0.5018626793170837,0.5184576116122209,B,B
5353,4787,10706,6086,-5353,-3044,1,1,0.6687989100321617,0.6865687000926515,B,B
5355,4787,10710,6086,-5355,-3044,1,1,0.4631830846892987,0.4863973973956013,B,B
5357,4787,10714,6086,-5357,-3044,1,1,0.486203470719474,0.5184576116122209,B,B
5358,4787,10716,6098,-5358,-3050,1,1,0.24973827059032694,0.29312155847436416,B,B
5359,4787,10718,6098,-5359,-3050,1,1,0.5057929310816888,0.5287072142744291,B,B
5360,4787,10720,6098,-5360,-3050,1,1,0.19579394430057417,0.23139716590926385,B,B
5362,4787,10724,6098,-5362,-3050,1,1,0.93135421350243,0.9155804834289545,B,B
5363,4787,10726,6098,-5363,-3050,1,1,0.06471629867701789,0.06575410935862658,B,B
5364,4787,10728,6110,-5364,-3056,1,1,0.8439807944380313,0.836604570279811,B,B
5367,4787,10734,6110,-5367,-3056,1,1,0.5452782769437312,0.5603876811308924,B,B
5368,4787,10736,6110,-5368,-3056,1,1,0.2601526216567486,0.30887378737929305,B,B
5369,4787,10738,6110,-5369,-3056,1,1,0.2498416107564263,0.30887378737929305,B,B
5370,4787,10740,6122,-5370,-3062,1,1,0.9108926017949189,0.9155804834289545,B,B
5372,4787,10744,6122,-5372,-3062,1,1,0.16120366818909626,0.17573684250755928,B,B
5374,4787,10748,6122,-5374,-3062,1,1,0.5648598793001979,0.5738128596868537,B,B
5375,4787,10750,6122,-5375,-3062,1,1,0.8586645145115397,0.8483288367488273,B,B
5376,4787,10752,6134,-5376,-3067,1,1,0.9408659622418746,0.9358892092224953,B,B
5377,4787,10754,6134,-5377,-3067,1,1,0.6677737194056045,0.6865687000926515,B,B
5378,4787,10756,6134,-5378,-3067,1,1,0.5704144763133351,0.5738128596868537,B,B
5379,4787,10758,6134,-5379,-3067,1,1,0.405562271310831,0.45443658440763757,B,B
5380,4787,10760,6134,-5380,-3067,1,1,0.20538534576324674,0.2556376638625464,B,B
5381,4787,10762,6144,-5381,-3073,1,1,0.45892495420304047,0.4863973973956013,B,B
5382,4787,10764,6144,-5382,-3073,1,1,0.018721979969131608,0.009431753548861166,B,B
5383,4787,10766,6144,-5383,-3073,1,1,0.12373358693971659,0.11766008071769851,B,B
5385,4787,10770,6144,-5385,-3073,1,1,0.9268382147623735,0.9155804834289545,B,B
5386,4787,10772,6144,-5386,-3073,1,1,0.13535015514548676,0.14001508031831478,B,B
5388,4787,10776,6156,-5388,-3079,1,1,0.03455060986737557,0.046636926221635844,B,B
5391,4787,10782,6156,-5391,-3079,1,1,0.18655377937203754,0.20479149534265284,B,B
5392,4787,10784,6156,-5392,-3079,1,1,0.1792654166346218,0.18991284810616926,B,B
5393,4787,10786,6168,-5393,-3085,1,1,0.18570870554930918,0.20479149534265284,B,B
5395,4787,10790,6168,-5395,-3085,1,1,0.8651941154180883,0.8483288367488273,B,B
5396,4787,10792,6168,-5396,-3085,1,1,0.11077492771857467,0.11766008071769851,B,B
5398,4787,10796,6168,-5398,-3085,1,1,0.23434018789851407,0.2705870793149804,B,B
5399,4787,10798,6180,-5399,-3091,1,1,0.4271252023242865,0.4686479736942557,B,B
5400,4787,10800,6180,-5400,-3091,1,1,0.7329991614508937,0.74048802736636,B,B
5401,4787,10802,6180,-5401,-3091,1,1,0.5415866145968812,0.5603876811308924,B,B
5402,4787,10804,6180,-5402,-3091,1,1,0.07082259288285797,0.08139052448728146,B,B
5404,4787,10808,6180,-5404,-3091,1,1,0.20343725306285776,0.23139716590926385,B,B
5406,4787,10812,6192,-5406,-3096,1,1,0.5995654404119927,0.5970130310756897,B,B
5407,4787,10814,6192,-5407,-3096,1,1,0.25574910382986593,0.30887378737929305,B,B
5408,4787,10816,6192,-5408,-3096,1,1,0.21686618591472684,0.2556376638625464,B,B
5412,4787,10824,6202,-5412,-3102,1,1,0.5823866062003817,0.5738128596868537,B,B
5413,4787,10826,6202,-5413,-3102,1,1,0.810117897686087,0.81093086149687,B,B
5414,4787,10828,6202,-5414,-3102,1,1,0.06305199019899876,0.06575410935862658,B,B
5415,4787,10830,6202,-5415,-3102,1,1,0.558303857340576,0.5603876811308924,B,B
5416,4787,10832,6214,-5416,-3108,1,1,0.5016941681255025,0.5184576116122209,B,B
5417,4787,10834,6214,-5417,-3108,1,1,0.1777807019990415,0.18991284810616926,B,B
5418,4787,10836,6214,-5418,-3108,1,1,0.4680655388643973,0.4863973973956013,B,B
5419,4787,10838,6214,-5419,-3108,1,1,0.9492316050327129,0.9358892092224953,B,B
5420,4787,10840,6214,-5420,-3108,1,1,0.9799064413882105,0.9708335991200716,B,B
5423,4787,10846,6226,-5423,-3114,1,1,0.1830490079109368,0.20479149534265284,B,B
5425,4787,10850,6226,-5425,-3114,1,1,0.40196612216254246,0.45443658440763757,B,B
5428,4787,10856,6238,-5428,-3120,1,1,0.40220579996383077,0.45443658440763757,B,B
5429,4787,10858,6238,-5429,-3120,1,1,0.41196324037212395,0.4686479736942557,B,B
5430,4787,10860,6238,-5430,-3120,1,1,0.18147822224211352,0.18991284810616926,B,B
5431,4787,10862,6238,-5431,-3120,1,1,0.723115662917478,0.7248533491587095,B,B
5432,4787,10864,6238,-5432,-3120,1,1,0.5950184163124067,0.5970130310756897,B,B
5434,4787,10868,6250,-5434,-3125,1,1,0.940938327787818,0.9358892092224953,B,B
5435,4787,10870,6250,-5435,-3125,1,1,0.7386822279745531,0.74048802736636,B,B
5439,4787,10878,6260,-5439,-3131,1,1,0.7845031976548107,0.7752105467541478,B,B
5440,4787,10880,6260,-5440,-3131,1,1,0.6336786297095736,0.6403485791625139,B,B
5442,4787,10884,6260,-5442,-3131,1,1,0.7581486767501735,0.7650504588350444,B,B
5443,4787,10886,6260,-5443,-3131,1,1,0.13997911430294274,0.14001508031831478,B,B
5444,4787,10888,6260,-5444,-3131,1,1,0.8779641962578771,0.8659373859054671,B,B
5445,4787,10890,6272,-5445,-3137,1,1,0.14844444888801678,0.1556084896784825,B,B
5447,4787,10894,6272,-5447,-3137,1,1,0.5357483123362511,0.5437811418999469,B,B
5449,4787,10898,6272,-5449,-3137,1,1,0.19289117551599788,0.2200783515824032,B,B
5450,4787,10900,6272,-5450,-3137,1,1,0.19326101448154875,0.2200783515824032,B,B
5451,4787,10902,6284,-5451,-3143,1,1,0.23965308186956713,0.29312155847436416,B,B
5452,4787,10904,6284,-5452,-3143,1,1,0.7313863414543236,0.74048802736636,B,B
5454,4787,10908,6284,-5454,-3143,1,1,0.5061048425563938,0.5287072142744291,B,B
5455,4787,10910,6284,-5455,-3143,1,1,0.9041591581947559,0.8844562399641169,B,B
5456,4787,10912,6284,-5456,-3143,1,1,0.33162893288959183,0.36326959483172827,B,B
5457,4787,10914,6296,-5457,-3148,1,1,0.3700526833215747,0.3838453928986345,B,B
5458,4787,10916,6296,-5458,-3148,1,1,0.4699649030897072,0.5057843245177359,B,B
5459,4787,10918,6296,-5459,-3148,1,1,0.007789997983835062,0.009431753548861166,B,B
5462,4787,10924,6306,-5462,-3154,1,1,0.7602959417246893,0.7650504588350444,B,B
5464,4787,10928,6306,-5464,-3154,1,1,0.2299456053081722,0.2705870793149804,B,B
5465,4787,10930,6306,-5465,-3154,1,1,0.39374854899515155,0.41436990175995514,B,B
5466,4787,10932,6306,-5466,-3154,1,1,0.06556501829373995,0.08139052448728146,B,B
5467,4787,10934,6306,-5467,-3154,1,1,0.27159918253018733,0.33085674641798635,B,B
5469,4787,10938,6318,-5469,-3160,1,1,0.5098228515954835,0.5287072142744291,B,B
5470,4787,10940,6318,-5470,-3160,1,1,0.526407683572576,0.5437811418999469,B,B
5471,4787,10942,6318,-5471,-3160,1,1,0.37932594841000944,0.3994271172644791,B,B
5472,4787,10944,6318,-5472,-3160,1,1,0.7508320371153462,0.74048802736636,B,B
5473,4787,10946,6318,-5473,-3160,1,1,0.3407078553220654,0.3838453928986345,B,B
5474,4787,10948,6330,-5474,-3166,1,1,0.7742158751645968,0.7752105467541478,B,B
5476,4787,10952,6330,-5476,-3166,1,1,0.9405719699361824,0.9358892092224953,B,B
5478,4787,10956,6330,-5478,-3166,1,1,0.3831931198097118,0.3994271172644791,B,B
5479,4787,10958,6330,-5479,-3166,1,1,0.6730146873847402,0.6865687000926515,B,B
5480,4787,10960,6342,-5480,-3172,1,1,0.074217397833242,0.09584927697217083,B,B
5481,4787,10962,6342,-5481,-3172,1,1,0.46618200968861967,0.4863973973956013,B,B
5482,4787,10964,6342,-5482,-3172,1,1,0.5173332164683112,0.5437811418999469,B,B
5485,4787,10970,6342,-5485,-3172,1,1,0.8563250549015817,0.836604570279811,B,B
5486,4787,10972,6354,-5486,-3177,1,1,0.10623406231172305,0.11766008071769851,B,B
5487,4787,10974,6354,-5487,-3177,1,1,0.8695280045231318,0.8659373859054671,B,B
5488,4787,10976,6354,-5488,-3177,1,1,0.07485516309930662,0.09584927697217083,B,B
5489,4787,10978,6354,-5489,-3177,1,1,0.7154946813433717,0.7248533491587095,B,B
5491,4787,10982,6364,-5491,-3183,1,1,0.6391798774038199,0.6567225731105883,B,B
5492,4787,10984,6364,-5492,-3183,1,1,0.7038916533661504,0.7248533491587095,B,B
5494,4787,10988,6364,-5494,-3183,1,1,0.3485884069485735,0.3838453928986345,B,B
5495,4787,10990,6364,-5495,-3183,1,1,0.6813879803491822,0.7124266951977283,B,B
5496,4787,10992,6364,-5496,-3183,1,1,0.3183845136301866,0.34394625120281785,B,B
5497,4787,10994,6376,-5497,-3189,1,1,0.36363275345615553,0.3838453928986345,B,B
5498,4787,10996,6376,-5498,-3189,1,1,0.6404361541492124,0.6567225731105883,B,B
5499,4787,10998,6376,-5499,-3189,1,1,0.5526629427965694,0.5603876811308924,B,B
5501,4787,11002,6376,-5501,-3189,1,1,0.14452504521485732,0.1556084896784825,B,B
5503,4787,11006,6388,-5503,-3195,1,1,0.11647260538675697,0.11766008071769851,B,B
5505,4787,11010,6388,-5505,-3195,1,1,0.20964834673752808,0.2556376638625464,B,B
5506,4787,11012,6388,-5506,-3195,1,1,0.06980888145496944,0.08139052448728146,B,B
5508,4787,11016,6388,-5508,-3195,1,1,0.383567722732034,0.41436990175995514,B,B
5509,4787,11018,6400,-5509,-3201,1,1,0.6268110157106588,0.6403485791625139,B,B
